id_licencia,emp_direccion
479,CHICLAYOELIAS AGUIRRE941
480,CHICLAYOJOSE MARIA ESCCRIVA DE BALAGUER 1415
481,SANTA VICTORIA - LAS ACACIAS207 
482,CRUZ DE LA ESPERANZA - SAN FRANCISCO DE ASIS N 229
483,AV. PANAMERICANA NORTE N° 1006
484,CA. VICENTE DE LA VEGA1148 INT 3 - CHICLAYO
485,AV. NACIONALISMO Y EL CARMEN N 540 - LAS BRISAS 
486,PROLONGACION BOLOGNESI MZ. D LOTE 13 PP.JJ. LA CIUDADELA
487,CA. JOSE EUFEMIO LORA Y LORA N 1579 URB. SAN ISIDRO
488,"CHICLAYO, PEDRO RUIZ N° 688 "
489,PATAZCA - CA. HERMANOS GALINDO CDRA 3 (INT. MAESTRO PERU S.A.) 
490,AV. LUIS GONZALES N 1094 - CHICLAYO
491,AV. FITZCARRAL S/N (INT. DE AEROPUERTO DEL PERÚ S.A.) - CHICLAYO 
492,SAN JUAN -  AV. QUIÑONES N 509 - CHICLAYO 
493,PATAZCA - FRANCISCO CUNEO SALAZAR N 1029 
494,CHICLAYO - CA. TENIENTE PINGLO183
495,CA. LOS LAURELES N 695 PP.JJ. 09 DE OCTUBRE
496,RESIDENCIAL  MAGISTERIAL MZ. 01 LOTE 06
497,CHICLAYO- CA. LUIS GONZALESN 507 
498,AV. LUIS GONZALES N° 1294 - CHICLAYO 
499,CHICLAYO - SAENZ PEÑA N 1653
500,CHICLAYO - JUAN CUGLIEVAN1062- INT-202
501,CA. ALFONSO UGARTE N 1330 INT. B CHICLAYO
502,AV. JORGE CHAVEZ N 727 - URB.CAMPODÓNICO - CHICLAYO
503,SAN LORENZO - FERREÑAFE N 101
504,CA. TUMBES N 117 URB. 03 DE OCTUBRE.
505,CA. DOMINGO ELIAS N 250 URB. REMIGIO SILVA
506,AV. JOSE GALVEZ N 170 CHICLAYO
507,AV. MIGUEL GRAU N 700 URB. CAMPODONICO
508,CHICLAYO - ELIAS AGUIRRE N° 600
